Price Period,Town,Super,Diesel,Kerosene
1,Mombasa,176.98,159.76,143.69
2,Kilifi,177.69,160.47,144.41
3,Likoni Mainland,177.34,160.11,144.05
4,Kwale,177.34,160.11,144.05
6,Lungalunga,178.05,160.83,144.76
7,Voi,178.46,161.24,145.17
8,Taveta,179.86,162.64,146.58
9,Lamu,180.27,163.06,147
10,Hola,180.57,163.34,147.28
11,Mpeketoni,180.27,163.06,147
12,Minjila,179.25,162.02,145.96
13,Garsen,179.33,162.11,146.05
14,Samburu,177.28,160.06,144
15,Taru,177.46,160.24,144.18
16,Mwatate,178.79,161.57,145.51
17,Wundanyi,178.96,161.74,145.68
18,Kaloleni,177.13,159.92,143.85
19,Marereni,178.56,161.34,145.27
20,Nairobi,179.3,162,145.94
21,Thika,179.31,162.01,145.94
22,Machakos,179.54,162.24,146.18
23,Kajiado,179.72,162.42,146.36
24,Makuyu,179.59,162.29,146.23
25,Muranga,179.82,162.52,146.46
26,Sagana,180.05,162.75,146.68
27,Embu,180.4,163.1,147.04
28,Kerugoya,180.33,163.03,146.97
29,Narok,180.69,163.4,147.33
30,Nyeri,180.67,163.37,147.31
,,,,
31,Namanga,180.85,163.55,147.48
,,,,
32,Kiganjo,180.64,163.34,147.28
,,,,
33,Chuka,180.93,163.63,147.57
34,Kitui,180.84,163.54,147.47
35,Mwingi,181.22,163.93,147.86
36,Nanyuki,181.23,163.94,147.87
37,Nkubu,182.21,164.91,148.84
38,Mtito Andei,181.74,164.44,148.38
39,Meru,182.4,165.1,149.04
40,Isiolo,182.26,164.96,148.89
41,Maua,182.85,165.56,149.49
42,Garissa,183.47,166.17,150.11
43,Marsabit,187.15,169.85,153.79
44,Liboi,186.24,168.94,152.87
45,Moyale,188.74,171.44,155.37
46,Sololo,187.79,170.49,154.43
47,Habaswein,186.16,168.86,152.8
48,Dadaab,184.85,167.55,151.49
49,Tarbaj,188.42,171.12,155.04
50,Elwak,190.02,172.72,156.65
51,Wajir,188.57,171.27,155.21
52,Modogashe,186.3,169,152.94
53,Mandera,192.35,175.05,158.98
54,Matuu,180.2,162.9,146.84
55,Merti,184.65,167.35,151.29
56,Oldonyiro,181.67,164.36,148.29
57,Eldas,190.34,173.04,156.98
58,Bute,187.38,170.08,154.02
59,Hadado,185.97,168.67,152.6
60,Mai Mahiu,179.42,162.12,146.06
61,Doldo,182,164.7,148.63
62,Lamuria,181.12,163.82,147.75
63,Sipili,181.98,164.68,148.62
64,Marimanti,181.61,164.31,148.25
65,Mutuobare,180.95,163.65,147.58
66,North Horr,188.11,170.82,154.75
67,Maikona,186.73,169.43,153.37
68,Kalacha,187.27,169.97,153.91
69,Loyangalani,187.34,170.04,153.97
70,Turbi,187.14,169.84,153.78
71,Laisamis,184.36,167.06,150.98
72,Merille,184.05,166.75,150.69
73,Korr,185.3,168,151.93
74,Nakuru,178.62,161.83,145.79
75,Gilgil,178.58,161.79,145.76
76,Mogotio,178.57,161.78,145.74
77,Molo,178.65,161.86,145.83
78,Olenguruone,179.36,162.56,146.53
79,Londiani,178.88,162.09,146.05
80,Nyahururu,178.87,162.08,146.04
81,Archers Post,181.85,165.06,149.03
82,Lodosoit,182.95,166.16,150.13
83,Naivasha,178.95,162.15,146.11
84,Marigat,179.34,162.55,146.51
85,Kabarnet,179.83,163.04,147.01
86,Maralal,180.92,164.13,148.1
87,Wamba,181.76,164.97,148.93
88,Rumuruti,179.41,162.62,146.58
89,Eldoret,179.5,162.72,146.67
90,Kiplombe,179.5,162.72,146.67
91,Iten,179.5,162.72,146.67
92,Naiberi,179.5,162.72,146.67
93,Kesses,179.5,162.72,146.67
94,Kapsabet,179.52,162.74,146.68
95,Webuye,179.93,163.15,147.1
96,Kitale,179.86,163.08,147.03
97,Kapenguria,180.5,163.72,147.67
98,Bungoma,180.26,163.48,147.44
99,Moiben,179.52,162.74,146.68
100,Matunda,179.49,162.7,146.66
101,Burnt Forest,179.45,162.67,146.62
102,Tambach,179.54,162.76,146.71
103,Kapsowar,180,163.22,147.18
104,Chebara,179.89,163.1,147.06
105,Kimwarer,179.81,163.03,146.99
106,Timboroa,179.73,162.95,146.9
107,Nandi Hills,179.69,162.91,146.87
108,Kaiboi,179.55,162.77,146.73
109,Kiminini,180.05,163.27,147.21
110,Endebes,180.39,163.61,147.57
111,Saboti,180.07,163.29,147.25
112,Chepareria,180.71,163.93,147.87
113,Lomut,182.33,165.53,149.49
114,Burgich,181.12,164.34,148.29
115,Sigor,181.25,164.47,148.42
116,Lodwar,183.68,166.9,150.85
117,Kakuma,185.27,168.49,152.44
118,Lokichar,182.68,165.9,149.85
119,Kalokol,184.44,167.66,151.61
120,Lokori,183.05,166.27,150.22
121,Lokitaung,187.33,170.55,154.49
122,Kapedo,182.33,165.53,149.49
123,Malaba,180.66,163.88,147.84
124,Lokichogio,186.46,169.68,153.63
125,Ziwa,179.69,162.91,146.87
126,Soy,179.51,162.72,146.67
127,Moi?s Bridge,179.57,162.78,146.74
128,Turbo,179.45,162.67,146.62
129,Kibish,187.56,170.77,154.73
130,Nakalale,186.39,169.6,153.55
131,Loima,182.8,166.02,149.97
132,Lokiriama,184.37,167.59,151.53
133,Kainuk,181.57,164.79,148.74
134,Kacheliba,180.9,164.12,148.07
135,Kiwawa,181.5,164.72,148.68
136,Ortum,181.09,164.31,148.26
137,Kachibora,179.89,163.1,147.06
138,Kwanza,180.6,163.82,147.78
139,Kaplamai,179.92,163.14,147.08
140,Eldama Ravine,180.33,163.55,147.51
141,Tenges,180.47,163.69,147.65
142,Barwessa,180.59,163.81,147.75
143,Kipsaraman,181.49,164.71,148.66
144,Loruk,181.36,164.58,148.53
145,Kabartonjo,180.33,163.55,147.51
146,Tindiret,180.39,163.61,147.57
147,O?lessos,179.57,162.78,146.74
148,Kobujoi,179.97,163.19,147.14
149,Serem,180.05,163.27,147.21
150,Kabiyet,179.51,162.72,146.67
151,Cheptulu,179.93,163.15,147.1
152,Songor,180.47,163.69,147.65
153,Kapcherop,180.11,163.33,147.28
154,Sambalat,180.79,164.01,147.97
155,Arror,180.45,163.67,147.61
156,Tot,180.65,163.87,147.82
157,Kaptarakwa,179.69,162.91,146.87
158,Kapese,182.65,165.86,149.82
159,Kalemngorok,182.03,165.25,149.21
160,Marich,181.02,164.24,148.19
161,Alale,181.5,164.72,148.68
162,Kunyao,181.17,164.39,148.34
163,Asilong,180.76,163.98,147.93
164,Orolwo,180.79,164.01,147.97
165,Sebit,180.74,163.96,147.92
166,Morpus,180.65,163.87,147.82
167,Chepkorniswo,180.53,163.75,147.71
168,Kaibichbich,180.49,163.7,147.66
169,Keringet,180.21,163.43,147.39
170,Kisumu,179.5,162.7,146.66
171,Sondu,179.59,162.8,146.77
172,Oyugis,180.08,163.29,147.25
173,Kakamega,179.54,162.75,146.72
174,Mumias,179.82,163.03,146.99
175,Bondo,179.7,162.91,146.88
176,Siaya,179.83,163.04,147
177,Kericho,180,163.21,147.17
178,Nyamira,180.07,163.28,147.24
179,Kisii,180.37,163.58,147.55
180,Sotik,180.21,163.42,147.38
181,Keroka,180.39,163.6,147.56
182,Busia,180.36,163.57,147.54
183,Homabay,180.31,163.52,147.48
184,Migori,181.17,164.37,148.34
185,Isebania,181.45,164.66,148.62
186,Bomet,180.61,163.82,147.78
187,Muhoroni,179.72,162.93,146.9
188,Mbita,180.3,163.5,147.47
189,Mbale,179.5,162.7,146.66
190,Etago,180.94,164.15,148.12
191,Magenche,181.05,164.26,148.22
192,Kilgoris,180.88,164.09,148.06
193,Malava,179.86,163.06,147.03
194,Lugari,180.25,163.45,147.42
195,Rodi Kopany,180.37,163.58,147.55
196,Ndhiwa,180.65,163.86,147.82
197,Rangwe,180.36,163.57,147.54
198,Sindo,180.37,163.58,147.55
199,Awasi,179.45,162.66,146.63
200,Ahero,179.5,162.7,146.66
201,Ugunja,179.93,163.13,147.1
202,Asembo,179.57,162.78,146.75
203,Usenge,180.06,163.26,147.22
204,Harambee,179.54,162.75,146.71
205,Muhuru Bay,181.31,164.52,148.48
206,Kehancha,181.54,164.75,148.71
207,Ntimaru,181.85,165.06,149.02
208,Rongo,180.62,163.83,147.8
209,Kaspokwony,180.59,163.8,147.75
210,Chwele,180.53,163.74,147.7
211,Kimilili,180.46,163.67,147.62
212,Nambale,180.36,163.57,147.54
213,SioPort,180.35,163.56,147.53
214,Port Bunyala,180.4,163.61,147.57
215,Funyula,180.22,163.43,147.4
216,Ogembo,180.53,163.74,147.7
217,Nyangusu,180.79,164,147.96
218,Sengera,180.72,163.92,147.88
219,Keumbu,180.44,163.64,147.61
220,Marani,180.14,163.35,147.31
221,Kerina,180.5,163.71,147.68
222,Ikonge,179.86,163.07,147.03
223,Nyansiongo,180.26,163.47,147.43
